date,total_vol,transactions,bsc,eth,poly,ratio
2021/12/19,"553,562,639.22","775,893","16,286,899.07","85,151,653.60","34,849,375.71",0.99
2021/12/20,"760,787,366.73","1,011,012","20,144,455.38","135,836,476.40","33,750,184.20",1.00
2021/12/21,"592,296,623.60","965,567","19,119,074.17","81,597,686.20","22,923,722.10",0.98
2021/12/22,"550,263,635.48","844,416","16,585,779.95","106,906,893.02","25,257,293.51",1.05
2021/12/23,"729,339,096.21","998,182","21,711,053.78","129,480,299.42","35,836,660.47",0.97
2021/12/24,"522,672,262.95","553,505","15,733,911.65","91,020,910.57","21,726,862.49",1.00
2021/12/25,"410,193,695.05","412,234","12,918,831.36","72,477,798.63","12,412,112.75",1.01
2021/12/26,"450,985,158.17","442,929","12,921,689.73","76,107,201.67","16,307,457.51",1.04
2021/12/27,"519,687,046.12","452,164","18,195,114.31","80,436,264.50","11,555,460.42",1.00
2021/12/28,"810,436,451.56","702,803","22,073,667.99","96,739,417.88","38,966,455.93",0.98
2021/12/29,"701,883,027.03","576,146","17,050,040.37","118,149,676.34","36,087,598.28",0.99
2021/12/30,"579,134,661.60","474,106","15,221,904.16","84,123,510.00","20,279,675.80",1.03
2021/12/31,"601,717,051.08","477,205","14,650,025.45","98,393,284.63","17,962,362.05",1.01
2022/01/01,"383,769,819.14","325,929","12,213,649.46","60,262,203.42","11,210,761.12",1.00
